Ensembl Gene ID	GO Term Accession (bp)	Ensembl Protein ID
ENSG00000240972	GO:0019752	ENSP00000215754
ENSG00000240972	GO:0030890	ENSP00000215754
ENSG00000240972	GO:0033138	ENSP00000215754
ENSG00000240972	GO:0042327	ENSP00000215754
ENSG00000240972	GO:0043030	ENSP00000215754
ENSG00000240972	GO:0043066	ENSP00000215754
ENSG00000240972	GO:0043518	ENSP00000215754
ENSG00000240972	GO:0045087	ENSP00000215754
ENSG00000240972	GO:0048146	ENSP00000215754
ENSG00000240972	GO:0050715	ENSP00000215754
ENSG00000240972	GO:0050731	ENSP00000215754
ENSG00000240972	GO:0050918	ENSP00000215754
ENSG00000240972	GO:0070207	ENSP00000215754
ENSG00000240972	GO:0070374	ENSP00000215754
ENSG00000240972	GO:0071157	ENSP00000215754
ENSG00000240972	GO:0005576	ENSP00000215754
ENSG00000240972	GO:0005615	ENSP00000215754
ENSG00000240972	GO:0005737	ENSP00000215754
ENSG00000240972	GO:0009986	ENSP00000215754
ENSG00000240972	GO:0004167	ENSP00000215754
ENSG00000240972	GO:0005102	ENSP00000215754
ENSG00000240972	GO:0005125	ENSP00000215754
ENSG00000240972	GO:0005126	ENSP00000215754
ENSG00000240972	GO:0005515	ENSP00000215754
ENSG00000240972	GO:0016853	ENSP00000215754
ENSG00000240972	GO:0042056	ENSP00000215754
ENSG00000240972	GO:0043498	ENSP00000215754
ENSG00000240972	GO:0050178	ENSP00000215754
ENSG00000099995	GO:0000389	ENSP00000215793
ENSG00000099995	GO:0000398	ENSP00000215793
ENSG00000099995	GO:0006397	ENSP00000215793
ENSG00000099995	GO:0008380	ENSP00000215793
ENSG00000099995	GO:0010467	ENSP00000215793
ENSG00000099995	GO:0006396	ENSP00000215793
ENSG00000099995	GO:0005634	ENSP00000215793
